"Date","hml_int_t100","hml_ime_t100","hml_int_t30","omk"
1989-04-30,-1.0043,-1.3238,-1.6664,0.7249
1989-05-31,-0.7128,-0.7014,-0.888,1.3718
1989-06-30,0.2318,-0.4807,1.0054,-0.4831
1989-07-31,0.5678,0.2815,-1.7655,-0.5034
1989-08-31,0.3341,0.4019,1.1328,-2.3795
1989-09-30,-1.0507,-1.131,-1.7945,2.9581
1989-10-31,-2.7159,-3.1484,-2.5537,2.0628
1989-11-30,-1.7578,-1.6479,-1.6161,-0.334
1989-12-31,-0.2972,-0.6258,-0.6124,1.2705
1990-01-31,-0.2437,0.0219,1.0715,-1.6029
1990-02-28,0.1906,-0.6798,0.1916,-0.3408
1990-03-31,0.3791,0.6371,-1.2654,-0.1284
1990-04-30,-1.3438,-0.8116,-2.2828,1.1909
1990-05-31,-1.0712,-0.7292,-2.4154,1.2447
1990-06-30,-0.9519,-0.6657,-1.5194,0.768
1990-07-31,0.1103,-0.58,-2.062,3.2029
1990-08-31,0.2826,-0.3186,-0.2274,3.9861
1990-09-30,-1.5629,-2.7768,-1.8846,1.1733
1990-10-31,-0.3555,-0.5269,-2.2926,4.2699
1990-11-30,-0.346,-0.5116,-0.2767,-1.1175
1990-12-31,0.1838,-0.3095,-1.2952,-1.1771
1991-01-31,1.4745,2.0944,3.67,-1.9206
1991-02-28,0.1925,0.9715,-0.1875,1.333
1991-03-31,1.3615,1.0808,-2.3462,1.8392
1991-04-30,0.0751,-0.0393,-0.3603,1.0858
1991-05-31,-0.4344,-0.7386,1.7067,-4.4324
1991-06-30,0.6405,-0.115,-0.5245,2.1295
1991-07-31,0.4817,-0.5918,-0.993,2.607
1991-08-31,1.2607,0.0442,-0.2025,1.8454
1991-09-30,-1.4064,-1.4277,-1.9389,0.4672
1991-10-31,1.0016,1.8187,-0.0097,1.3391
1991-11-30,-2.9333,-1.7697,-3.0074,2.8842
1991-12-31,-1.568,-2.0108,-2.8053,-0.6974
1992-01-31,4.0866,5.0308,6.2954,-4.7218
1992-02-29,3.2166,3.5474,7.1819,-2.2932
1992-03-31,1.6611,1.3621,3.5909,2.346
1992-04-30,2.4993,2.1786,3.9506,0.4101
1992-05-31,0.373,0.0898,0.7001,1.7494
1992-06-30,-0.2146,0.0405,1.0649,-3.4984
1992-07-31,-1.0146,-0.9161,-2.2976,1.4316
1992-08-31,-1.0623,-0.5221,-2.3055,4.9447
1992-09-30,0.5554,0.9868,-0.3623,-2.8498
1992-10-31,-0.3052,0.3233,-2.0175,1.1577
1992-11-30,-0.1409,-0.1905,0.0476,-5.4547
1992-12-31,0.7169,0.711,0.7444,-1.2661
1993-01-31,2.9946,3.6433,6.1884,-3.0582
1993-02-28,3.218,3.188,4.9517,1.499
1993-03-31,1.5066,0.9372,1.0361,-1.164
1993-04-30,1.2831,0.4453,2.2768,-0.3125
1993-05-31,-0.3955,-0.1368,-2.5181,-0.8945
1993-06-30,1.3273,1.9393,2.494,-0.62
1993-07-31,0.3653,0.1132,2.0849,-1.7662
1993-08-31,-1.0244,-0.5474,0.135,-0.3001
1993-09-30,0.1403,0.5125,0.431,0.0719
1993-10-31,0.5117,-0.0616,-1.6725,-2.2197
1993-11-30,1.2079,1.3768,0.2906,-2.2326
1993-12-31,-0.7042,-0.6822,-0.2739,-1.1051
1994-01-31,0.8755,2.1667,2.1612,-3.3399
1994-02-28,0.6621,0.3316,0.6076,2.9808
1994-03-31,1.6841,1.0509,2.1241,2.5103
1994-04-30,0.7929,0.976,0.881,2.0898
1994-05-31,1.0009,0.901,1.4572,-0.3114
1994-06-30,2.2038,1.4842,1.556,0.8075
1994-07-31,0.3547,0.1384,0.4448,0.0957
1994-08-31,1.0319,1.2529,-0.8408,0.6143
1994-09-30,-0.0267,0.1348,-0.5304,1.8165
1994-10-31,0.2728,0.4632,-0.027,5.0601
1994-11-30,0.2062,-0.155,-0.3663,1.4506
1994-12-31,-0.6285,-0.4846,-0.2778,-2.5984
1995-01-31,1.1382,1.0571,1.1251,0.3648
1995-02-28,0.1422,0.8125,0.3256,-1.6806
1995-03-31,-0.2876,0.1356,-1.2592,1.3139
1995-04-30,1.8117,1.4397,2.6266,-1.2491
1995-05-31,0.036,0.0683,1.4574,0.1609
1995-06-30,-0.651,-0.9853,-1.506,-1.9529
1995-07-31,0.199,0.0967,-0.8219,-1.302
1995-08-31,0.8506,1.3522,1.5215,-1.0531
1995-09-30,-0.3353,-0.5836,-0.7514,1.5647
1995-10-31,-0.0219,0.2617,-0.0816,1.4288
1995-11-30,-0.2028,0.5569,-0.6704,0.5234
1995-12-31,-1.0121,-1.0169,-0.4175,-0.7621
1996-01-31,0.3023,1.7941,0.6377,-1.487
1996-02-29,1.2233,0.3741,0.0613,1.6687
1996-03-31,0.5981,0.5127,0.252,-0.3115
1996-04-30,-0.2841,-0.5065,-1.9244,-0.3612
1996-05-31,0.4959,0.4273,-0.2647,0.2853
1996-06-30,-0.4984,0.2343,0.4093,3.5191
1996-07-31,2.6352,2.6592,4.158,0.8159
1996-08-31,-0.0861,-0.4546,5e-04,-1.8797
1996-09-30,-1.1325,-0.7917,-2.069,-0.6217
1996-10-31,2.0555,1.8614,4.0577,-0.2585
1996-11-30,2.2546,2.2845,1.6492,-2.5379
1996-12-31,1.3566,1.339,0.8039,1.7726
1997-01-31,-0.4022,-0.284,-2.186,-1.6369
1997-02-28,3.9417,3.5314,4.5322,1.81
1997-03-31,2.7898,2.2791,3.7092,3.401
1997-04-30,0.436,0.8982,-0.1193,-2.1741
1997-05-31,-2.1877,-2.5916,-3.9551,-0.1248
1997-06-30,2.0187,2.6141,1.5423,0.6198
1997-07-31,0.1459,-0.2299,0.6243,-3.6014
1997-08-31,1.4512,1.1876,1.9533,1.3662
1997-09-30,-0.3015,-0.2127,-0.4571,-1.3682
1997-10-31,1.1993,2.1552,1.6382,5.1588
1997-11-30,1.3196,1.7212,1.7106,-0.8287
1997-12-31,0.3105,-0.3545,1.6663,-0.4483
1998-01-31,-0.5985,0.4068,-1.0336,-4.4697
1998-02-28,0.296,-0.7707,-1.1884,-0.9455
1998-03-31,0.3707,-0.1026,1.0131,1.7445
1998-04-30,1.1396,1.4623,-0.3237,0.5968
1998-05-31,2.597,2.194,3.3432,0.454
1998-06-30,-2.4382,-2.9321,-2.9088,-3.6203
1998-07-31,2.8301,3.6776,-1.0788,1.2992
1998-08-31,1.7787,1.4891,6.0631,4.0564
1998-09-30,-2.0425,-2.0967,-3.2276,2.3468
1998-10-31,-0.6224,-0.6358,-2.7905,-3.7795
1998-11-30,-0.0746,1.2589,-1.392,0.7039
1998-12-31,-1.6123,-1.6831,-4.349,-3.6289
1999-01-31,-2.4205,-1.0547,-3.8351,-4.4396
1999-02-28,1.3823,2.1318,1.6842,1.5909
1999-03-31,-2.2809,-1.733,-2.3108,-2.0939
1999-04-30,-0.2931,1.3532,1.3151,3.1483
1999-05-31,5.588,5.0017,5.2271,5.8271
1999-06-30,0.5009,0.7525,-1.8449,-3.0209
1999-07-31,1.3213,1.1883,0.6025,0.5422
1999-08-31,0.1945,-0.3544,-1.1774,-3.7572
1999-09-30,-1.8832,-0.1827,-1.5364,-3.1676
1999-10-31,-2.141,-3.5182,-4.6981,-9.3461
1999-11-30,0.9951,2.1755,-5.375,6.55
1999-12-31,-4.0418,-2.7992,-5.9995,-6.5087
2000-01-31,1.856,2.6721,1.0998,0.3859
2000-02-29,-1.52,-1.231,-5.3766,-5.5545
2000-03-31,1.474,-0.0485,4.1458,-1.874
2000-04-30,2.387,-0.1851,6.326,-4.3284
2000-05-31,-0.2556,0.7618,2.7206,0.7151
2000-06-30,-2.529,-2.1391,-6.151,-5.3102
2000-07-31,2.0822,1.5346,7.6682,0.0357
2000-08-31,-0.5373,-1.5257,-2.3589,-5.223
2000-09-30,3.2808,4.434,6.766,10.3463
2000-10-31,1.4003,0.2117,5.7295,-0.6728
2000-11-30,9.0413,8.9555,12.7726,9.2631
2000-12-31,4.6904,3.9672,5.5126,2.8291
2001-01-31,1.9071,1.0638,-4.2773,-1.1323
2001-02-28,9.0477,7.992,13.4939,6.4632
2001-03-31,4.7812,4.3244,6.3616,5.2009
2001-04-30,-2.3113,-2.3596,-4.381,-4.6815
2001-05-31,1.6199,2.1496,2.1435,4.176
2001-06-30,1.0956,-0.6358,-1.1326,-0.4135
2001-07-31,3.2226,2.9964,6.3981,1.9179
2001-08-31,5.3978,5.7647,3.9119,5.4781
2001-09-30,-0.6594,-0.5059,0.3945,5.1014
2001-10-31,-2.8105,-3.2486,-5.6316,3.0906
2001-11-30,1.9761,1.6778,3.0091,-6.76
2001-12-31,-0.1616,0.6143,0.6823,4.0584
2002-01-31,3.7645,4.2396,3.8759,0.0906
2002-02-28,1.6211,0.9091,2.7501,2.5053
2002-03-31,3.4132,2.8422,0.6276,2.0298
2002-04-30,5.3802,4.222,4.141,3.178
2002-05-31,2.4667,2.1552,3.1074,-0.4437
2002-06-30,1.5484,0.1999,1.0929,9.3137
2002-07-31,-0.728,-0.7885,-2.625,-2.3211
2002-08-31,1.2216,0.3614,2.0859,0.8719
2002-09-30,0.0051,-0.718,-0.1397,4.9539
2002-10-31,-4.2261,-2.535,-3.555,-1.7416
2002-11-30,0.4729,1.8336,0.3266,-7.2872
2002-12-31,3.074,1.9229,2.286,6.8878
2003-01-31,1.792,0.6643,0.1434,1.7151
2003-02-28,0.0486,-0.6423,-1.6402,1.5576
2003-03-31,-1.0999,0.1908,-1.7354,1.7665
2003-04-30,-0.0606,-0.3167,0.9418,-9.4014
2003-05-31,1.1904,1.4624,0.2213,-0.9097
2003-06-30,0.6924,1.4497,0.9433,-1.4716
2003-07-31,1.129,2.2652,0.8047,0.9616
2003-08-31,1.1425,0.2367,3.0307,0.6034
2003-09-30,2.0377,1.773,1.5762,2.5565
2003-10-31,3.2489,2.8834,3.3102,0.3653
